"exercise_name","muscle_group","exercise_material","weight_training_count"
TRÍCEPS POLIA,triceps,pulleys,66
CADEIRA FLEXORA,legs,machine,45
ABDOMINAL MÁQUINA,abdominal,machine,38
PUXADA POLIA BARRA FRENTE,dorsal,pulleys,30
REMADA MÁQUINA NEUTRA,dorsal,machine,29
LEG PRESS 45,legs,machine,29
SUPINO MAQUINA,breastplate,machine,26
LEG PRESS,legs,machine,25
MESA FLEXORA,legs,machine,24
GÊMEOS MÁQUINA EM PÉ,legs,machine,22
GÊMEOS NO LEG PRESS,legs,machine,22
PUXADA MÁQUINA,dorsal,machine,19
AGACHAMENTO SMITH,legs,machine,19
HIPEREXTENSÃO LOMBAR,lumbar,calisthenics,18
ROSCA DIRETA POLIA,biceps,pulleys,16
ROSCA HALTER,biceps,free_weight,16
DESENVOLVIMENTO MÁQUINA ABERTO,shoulder,machine,15
CRUCIFIXO HALTERES,breastplate,free_weight,14
DESENVOLVIMENTO HALTERES ABERTA SENTADO,shoulder,free_weight,13
ABDOMINAL PRANCHA SOLO,abdominal,calisthenics,13
