"exercise_name","muscle_group","exercise_material","weight_training_count"
TRÍCEPS POLIA,triceps,pulleys,66
CADEIRA FLEXORA,legs,machine,45
ABDOMINAL MÁQUINA,abdominal,machine,38
PUXADA POLIA BARRA FRENTE,dorsal,pulleys,30
LEG PRESS 45,legs,machine,29
REMADA MÁQUINA NEUTRA,dorsal,machine,29
SUPINO MAQUINA,breastplate,machine,26
LEG PRESS,legs,machine,25
MESA FLEXORA,legs,machine,24
GÊMEOS MÁQUINA EM PÉ,legs,machine,22
GÊMEOS NO LEG PRESS,legs,machine,22
PUXADA MÁQUINA,dorsal,machine,19
AGACHAMENTO SMITH,legs,machine,19
HIPEREXTENSÃO LOMBAR,lumbar,calisthenics,18
ROSCA HALTER,biceps,free_weight,16
ROSCA DIRETA POLIA,biceps,pulleys,16
DESENVOLVIMENTO MÁQUINA ABERTO,shoulder,machine,15
CRUCIFIXO HALTERES,breastplate,free_weight,14
ABDOMINAL PRANCHA SOLO,abdominal,calisthenics,13
DESENVOLVIMENTO HALTERES ABERTA SENTADO,shoulder,free_weight,13
PUXADA POLIA BARRA SUPINADA,dorsal,pulleys,12
ROSCA HALTER ALTERNADA,biceps,free_weight,12
PUXADA POLIA BARRA TRIÂNGULO,dorsal,pulleys,11
GÊMEOS SENTADO,legs,machine,11
SUPINO LIVRE RETO,breastplate,free_weight,10
LOMBAR MÁQUINA,lumbar,machine,10
SUPINO HALTERES,breastplate,free_weight,10
PECK DECK,breastplate,machine,9
TRÍCEPS HALTER TESTA,triceps,free_weight,9
TRICEPS MÁQUINA BILATERAL,triceps,machine,9
ELEVAÇÃO FRONTAL HALTERES,shoulder,free_weight,9
PUXADA POLIA ROMANA,dorsal,pulleys,8
SUPINO HALTERES INCLINADO,breastplate,free_weight,8
CRUCIFIXO HALTERES INCLINADO,breastplate,free_weight,8
ROSCA DIRETA (COM BARRA),biceps,free_weight,7
TRICEPS TESTA BARRA W,triceps,free_weight,7
AFUNDO HALTERES,legs,free_weight,7
REMADA MÁQUINA,dorsal,machine,6
SUPINO MAQUINA FECHADO,breastplate,machine,5
ROSCA HALTER 45 GRAUS,biceps,free_weight,5
STIFF HALTERES,legs,free_weight,5
CRUCIFIXO MÁQUINA,breastplate,machine,5
HIT 15' NÍVEL 3,hit,machine,5
LEVANTAMENTO TERRA,legs,free_weight,5
ROSCA BARRA W SCOTT,biceps,free_weight,5
CRUCIFIXO INVERSO HALTERES,shoulder,free_weight,5
CRUCIFIXO INVERSO POLIA,shoulder,pulleys,4
TRÍCEPS PARALELA,triceps,calisthenics,4
TRÍCEPS BANCO,triceps,calisthenics,4
LEG PRESS UNILATERAL,legs,machine,4
DESENVOLVIMENTO MÁQUINA FECHADO,shoulder,machine,4
ELEVAÇÃO FRONTAL HALTERES SENTADO,shoulder,free_weight,4
SUPINO LIVRE INCLINADO,breastplate,free_weight,4
ABDOMINAL INFRA PARALELA ESTENDIDA,abdominal,calisthenics,3
CROSS OVER SUPINADO,breastplate,machine,3
BÍCEPS MÁQUINA SCOTT,biceps,machine,3
ABDUÇÃO CANELEIRA,legs,free_weight,3
AFUNDO SMITH,legs,machine,3
ROSCA BARRA W,biceps,free_weight,3
REMADA POLIA TRIANGULO SENTADA,dorsal,pulleys,3
ROSCA HALTER MARTELO 45 GRAUS,biceps,free_weight,3
BARRA NO GRAVITON ABERTA,dorsal,machine,3
CADEIRA EXTENSORA UNILATERAL,legs,machine,3
ABDUÇÃO POLIA EM PÉ,legs,pulleys,3
ABDOMINAL INFRA SUSPENSÃO,abdominal,calisthenics,3
AGACHAMENTO HALTERES,legs,free_weight,3
TRICEPS MÁQUINA FECHADA,triceps,machine,3
ABDOMINAL ROLINHO,abdominal,calisthenics,2
TIBIAL HALTER,legs,free_weight,2
HIT 10' NÍVEL 2,hit,machine,2
TRÍCEPS HALTER FRANCÊS EM PÉ UNILATERAL,triceps,free_weight,2
TRÍCEPS GRAVITRON,triceps,machine,2
ABDOMINAL SUPRA RETO POLIA AJOELHADO,abdominal,pulleys,2
TRÍCEPS HALTER FRANCÊS EM PÉ,triceps,free_weight,2
BÍCEPS MÁQUINA ALTERNADA,biceps,machine,2
SUPINO HALTERES COM ROTAÇAO,breastplate,free_weight,2
ROSCA DIRETA POLIA INVERSA UNILATERAL,biceps,pulleys,2
ELEVAÇAO FRONTAL BARRA SENTADO,shoulder,free_weight,2
ELEVAÇÃO FRONTAL HALTERES NEUTRA,shoulder,free_weight,2
CADEIRA EXTENSORA,legs,machine,2
GÊMEOS NO LEG 45,legs,machine,2
ROSCA SCOTT,biceps,free_weight,2
REMADA ALTA HALTERES,shoulder,free_weight,2
REMADA ALTA POLIA,shoulder,pulleys,2
ENCOLHIMENTO HALTERES,shoulder,free_weight,2
TRICEPS MÁQUINA PARALELA,triceps,machine,2
HIT 25' NÍVEL 2,hit,machine,2
REMADA POLIA BARRA RETA SUPINADA SENTADA,dorsal,pulleys,2
CRUCIFIXO INVERSO MÁQUINA,shoulder,machine,2
FLEXÃO DO JOELHO EM PÉ,legs,calisthenics,1
ENCOLHIMENTO POLIA,shoulder,pulleys,1
ELEVAÇÃO FRONTAL CORDA,shoulder,pulleys,1
GÊMEOS NO SMITH,legs,machine,1
DESENVOLVIMENTO BARRA FRENTE,shoulder,free_weight,1
ABDOMINAL INFRA PARALELA BOSU,abdominal,calisthenics,1
CADEIRA EXTENSORA 0-30,legs,machine,1
CADEIRA ABDUTORA,legs,machine,1
RETROCESSO SMITH STEP,legs,machine,1
ABDOMINAL SOLO OBLÍQUO COMPLETO,abdominal,calisthenics,1
REMADA CAVALINHO,dorsal,free_weight,1
TRÍCEPS HALTER FRANCÊS SENTADO UNILATERAL,triceps,free_weight,1
CADEIRA ADUTORA,legs,machine,1
MESA FLEXORA Unilateral,legs,machine,1
TRÍCEPS HALTER FRANCÊS SENTADO,triceps,free_weight,1
ROSCA HALTER MARTELO ALTERNADA,biceps,free_weight,1
ADUÇÃO CANELEIRA,legs,free_weight,1
DESENVOLVIMENTO HALTERES ABERTA,shoulder,free_weight,1
ROSCA HALTER MARTELO SCOTT,biceps,free_weight,1
REMADA HALTERES FECHADA,dorsal,free_weight,1
ABDOMINAL INFRA PARALELA FLEXIONADA,abdominal,calisthenics,1
CADEIRA FLEXORA UNILATERAL,legs,machine,1
REMADA MÁQUINA NEUTRA ALTERNADA,dorsal,machine,1
TRICEPS TESTA POLIA CORDA,triceps,pulleys,1
STIFF BARRA,legs,free_weight,1
REMADA CURVADA,dorsal,free_weight,1
ROSCA HALTER CONCENTRADA,biceps,free_weight,1
SUPINO HALTERES INCLINADO ALTERNADO,breastplate,free_weight,1
BARRA NO GRAVITON SUPINADA,dorsal,machine,1
REMADA CURVADA POLIA CORDA,dorsal,pulleys,1
TRICEPS TESTA BARRA ROMANA,triceps,free_weight,1
CADEIRA EXTENSORA ALTERNADO,legs,machine,1
TRÍCEPS HALTER TESTA  DEITADO,triceps,free_weight,1
LEG PRESS 45 UNILATERAL,legs,machine,1
SUPINO HAMMER RETO,breastplate,machine,1
ELEVAÇÃO FRONTAL HALTERES NEUTRA ALTERNADO,shoulder,free_weight,1
TRICEPS MÁQUINA ALTERNADO,triceps,machine,1
REMADA CAVALINHO UNILATERAL,dorsal,free_weight,1
ABDOMINAL BOLA INFRA,abdominal,calisthenics,1
ELEVAÇÃO LATERAL,shoulder,free_weight,1
AGACHAMENTO SMITH SUMÔ,legs,machine,1
REMADA CURVADA POLIA SUPINADA,dorsal,pulleys,1
AFUNDO BARRA STEP,legs,free_weight,1
HIT 25' NÍVEL 5,hit,machine,1
